,0,3,6,9,12,15
0,6,4.52,3.6,2.57,1.601,0
3,6,4.7,3.68,2.63,1.661,0
6,6,4.76,3.73,2.47,1.469,0
9,6,4.76,3.73,2.69,1.656,0
12,6,4.8,3.7,2.77,1.685,0
15,6,4.85,3.78,2.78,1.754,0
